Id,Price
11001,376703.922
11002,973089.999
11003,1596728.388
11004,2401928.706
11005,3080742.7185
11006,2703171.1485
11007,3264408.834
11008,2617022.103
11009,455957.397
11010,1380075.2085
11011,3470487.849
11012,1476771.1425
11013,1504280.2875
11014,1847999.8005
11015,684563.4855
11016,1635101.0235
11017,2236203.9495
11018,243713.685
11019,710432.55
11020,441575.6595
11021,198401.631
11022,769032.1305
11023,378287.043
11024,584466.417
11025,1513611.432
11026,3183251.3535
11027,1044990.087
11028,457918.224
11029,796743.6645
11030,1511554.113
11031,694917.9015
11032,649746.6195
11033,2297122.554
11034,1729063.0005
11035,852232.584
11036,354056.496
11037,741499.578
11038,1028672.1825
11039,1062522.651
11040,792259.1745
11041,2372610.84
11042,292702.863
11043,1016404.074
11044,271835.064
11045,831155.6505
11046,621854.493
11047,1385931.48
11048,642797.4585
11049,2083788.975
11050,1618829.2875
11051,374578.989
11052,823337.181
11053,2219781.321
11054,956726.7465
11055,124018.782
11056,1540883.04
11057,507100.716
11058,1396369.206
11059,392246.262
11060,1123851.303
11061,154606.8195
11062,861311.655
11063,1736577.96
11064,549773.7915
11065,1014800.19
11066,220533.9585
11067,2720188.5315
11068,1004306.181
11069,685046.157
11070,4211583.396
11071,1507796.2605
11072,2255096.3385
11073,655056.762
11074,2227875.159
11075,855280.1475
11076,678518.376
11077,324002.859
11078,191006.2755
11079,828694.947
11080,2767817.9955
11081,291879.714
11082,592713.84
11083,2469211.2405
11084,1178943.0525
11085,444238.6725
11086,126081.366
11087,548567.625
11088,169749.921
11089,965090.676
11090,657374.475
11091,2476371.552
11092,2648079.6885
11093,198215.871
11094,2899027.464
11095,584219.538
11096,471277.9215
11097,695142.7365
11098,1081385.8695
11099,1593052.5375
11100,2477349.402
11101,873687.567
11102,773839.4355
11103,422046.09
11104,995280.4935
11105,504998.9565
11106,804987.789
11107,3813456.303
11108,432136.6005
11109,1628654.412
11110,244944.096
11111,426520.4715
11112,279656.8695
11113,1652237.1855
11114,5475900.3615
11115,492610.1295
11116,153185.9355
11117,674284.458
11118,380578.1265
11119,1844216.0475
11120,908013.9135
11121,1832756.889
11122,494340.4155
11123,248102.742
11124,1763554.59
11125,960515.664
11126,310670.7675
11127,714282.276
11128,576199.143
11129,1868209.581
11130,2395252.008
11131,699624.0015
11132,775084.8285
11133,345377.2095
11134,2592226.2435
11135,917406.7365
11136,284702.4555
11137,370041.207
11138,1054214.6925
11139,490682.1045
11140,2974636.284
11141,1919814.042
11142,1286719.9275
11143,743856.2175
11144,1989338.9385
11145,577823.2845
11146,1064226.711
11147,1055080.221
11148,1334328.324
11149,1049508.996
11150,932104.224
11151,858641.43
11152,1435400.976
11153,3197309.7705
11154,1598914.8765
11155,1497226.776
11156,1011463.7115
11157,205216.029
11158,1294068.522
11159,879674.0235
11160,784005.858
11161,633435.84
11162,1286779.872
11163,765598.842
11164,1324004.241
11165,1052863.6485
11166,2660074.854
11167,220623.7725
11168,1033137.6105
11169,947894.5455
11170,640131.5505
11171,1683641.349
11172,1072054.626
11173,810724.3485
11174,1927943.598
11175,496350.378
11176,843978.924
11177,634703.262
11178,2651288.9085
11179,1170767.109
11180,1436217.3615
11181,500698.56
11182,1785640.527
11183,893341.74
11184,320737.08
11185,432771.21
11186,1491850.5345
11187,221473.344
11188,800557.008
11189,626227.185
11190,706726.938
11191,806448.7605
11192,951467.2305
11193,2166259.224
11194,872266.6635
11195,443826.006
11196,408969.6975
11197,741682.194
11198,3709059.711
11199,451387.0965
11200,549707.124
11201,546926.748
11202,829591.6965
11203,1280363.7585
11204,1106142.294
11205,468815.6745
11206,701993.7315
11207,1379978.4
11208,1169261.235
11209,729845.532
11210,719163.279
11211,1630340.7225
11212,506803.146
11213,1623515.706
11214,1553947.866
11215,440653.419
11216,1967045.7705
11217,1431947.7165
11218,341086.128
11219,415774.1475
11220,361265.682
11221,1984944.384
11222,803261.9445
11223,966346.23
11224,532454.736
11225,394581.0885
11226,379878.078
11227,500001.2115
11228,2644482.5295
11229,1191810.327
11230,1118158.4265
11231,1563134.5845
11232,898503.45
11233,988549.5645
11234,536368.596
11235,1580124.687
11236,2935057.1295
11237,514115.388
11238,277127.2335
11239,1842389.3205
11240,650406.999
11241,1584810.3105
11242,904790.547
11243,958076.7015
11244,900806.43
11245,4959861.7635
11246,400758.927
11247,2000914.356
11248,1500997.749
11249,165527.7495
11250,1615238.2485
11251,493935.546
11252,556537.9815
11253,1103656.3005
11254,465802.836
11255,1959463.572
11256,777947.757
11257,647056.3005
11258,1566870.711
11259,276468.8535
11260,1844785.2315
11261,640314.5775
11262,314165.8845
11263,1309550.8125
11264,798351.831
11265,140769.0315
11266,761099.523
11267,410580.5085
11268,457895.136
11269,1444368.171
11270,1081511.0385
11271,469259.4465
11272,754771.023
11273,709387.9005
11274,668547.9195
11275,2010815.6415
11276,315506.5785
11277,417282.2385
11278,1529806.6185
11279,486334.35
11280,831322.8075
11281,1553852.7465
11282,1426174.9545
11283,916555.9335
11284,1642537.566
11285,1206565.374
11286,556570.2375
11287,601354.023
11288,491185.0245
11289,440302.335
11290,172348.6815
11291,717441.7395
11292,888210.834
11293,2157904.137
11294,1757941.0155
11295,623042.124
11296,1036408.428
11297,588635.592
11298,371384.964
11299,1852658.937
11300,460638.3375
11301,942527.181
11302,1738465.9905
11303,273389.613
11304,1896689.835
11305,1397500.794
11306,1946529.9375
11307,137143.7025
11308,850638.2655
11309,703203.4995
11310,944290.0425
11311,712774.8555
11312,693885.5295
11313,608040.7635
11314,747215.079
11315,568656.1185
11316,952564.1865
11317,753510.2715
11318,969307.1295
11319,1749936.7755
11320,1580678.319
11321,1198491.228
11322,3774108.111
11323,848561.001
11324,1091885.961
11325,966139.545
11326,1632384.5595
11327,231044.8665
11328,740729.514
11329,605825.2695
11330,663710.5875
11331,1132990.686
11332,306569.2695
11333,984961.044
11334,1025971.485
11335,2600632.7925
11336,1502590.434
11337,608838.684
11338,1553953.5825
11339,745418.292
11340,1174127.895
11341,1736580.759
11342,996410.688
11343,874143.9375
11344,1035743.022
11345,189701.565
11346,3244793.22
11347,301075.6545
11348,1694831.3265
11349,642997.6095
11350,1975883.3475
11351,470078.4345
11352,350589.669
11353,772363.968
11354,1730913.852
11355,801126.225
11356,891172.4745
11357,519938.991
11358,1785276.3465
11359,382568.1525
11360,814412.0325
11361,252264.936
11362,1047663.642
11363,2490442.0935
11364,86188.455
11365,902716.545
11366,1853431.074
11367,1030893.24
11368,989601.156
11369,379174.326
11370,1354466.0205
11371,415171.9035
11372,2414606.1285
11373,1932977.9835
11374,607850.859
11375,758858.844
11376,501489.27
11377,2155898.4945
11378,1306893.3915
11379,1007413.806
11380,182678.0505
11381,1645410.219
11382,157886.1045
11383,1030504.005
11384,787191.84
11385,452090.262
11386,1747774.3755
11387,2146643.241
11388,1307018.979
11389,512501.1645
11390,1720922.2995
11391,811395.873
11392,1183040.793
11393,121179.0015
11394,767188.1595
11395,710012.4795
11396,1835823.3255
11397,944753.7255
11398,1155848.523
11399,913209.7725
11400,548313.324
11401,1895087.445
11402,1578929.8515
11403,230013.021
11404,2502326.7045
11405,604795.794
11406,868855.6425
11407,1275754.0005
11408,2024539.767
11409,618403.725
11410,268553.1195
11411,2000670.6015
11412,1444589.2575
11413,2181352.4655
11414,555998.226
11415,1572734.799
11416,1733167.3125
11417,1346946.093
11418,1872726.99
11419,933457.1175
11420,2081609.061
11421,482953.059
11422,225150.0225
11423,1119858.9045
11424,564206.688
11425,241249.2015
11426,654576.1125
11427,646030.8765
11428,1267001.6655
11429,593154.6885
11430,784398.2505
11431,1340251.599
11432,401236.9335
11433,1036475.916
11434,2491846.6515
11435,1396218.867
11436,644347.2645
11437,937623.624
11438,123368.364
11439,2253690.441
11440,4325167.9815
11441,132978.5625
11442,1788684.063
11443,1362090.3705
11444,393137.1675
11445,463563.8805
11446,2692600.656
11447,76444.0035
11448,1133253.0195
11449,548603.3295
11450,137783.1885
11451,970368.702
11452,1616593.185
11453,159983.487
11454,211965.4215
11455,2058933.123
11456,132368.262
11457,570895.6455
11458,1085696.9805
11459,642155.9955
11460,1618883.2875
11461,681271.236
11462,494076.072
11463,779040.6855
11464,1013852.9025
11465,2484419.652
11466,154910.976
11467,788046.2055
11468,209639.4
11469,2142799.578
11470,2193095.6235
11471,2585954.37
11472,2645138.2665
11473,80742.897
11474,1740858.768
11475,649453.2135
11476,2032429.422
11477,1062757.3635
11478,397294.398
11479,1698715.161
11480,1967919.534
11481,282380.1435
11482,897754.194
11483,2395114.59
11484,1691645.757
11485,287800.488
11486,1723305.189
11487,799498.4445
11488,399317.9955
11489,1921211.823
11490,523869.099
11491,711024.816
11492,2009808.615
11493,748745.211
11494,3227589.3405
11495,1652855.0355
11496,1719858.924
11497,711563.505
